COG	COG term
COG0174	[E] COG0174 Glutamine synthetase
COG0175	[EH] COG0175 3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes
COG0176	[G] COG0176 Transaldolase
COG0177	[L] COG0177 Predicted EndoIII-related endonuclease
COG0178	[L] COG0178 Excinuclease ATPase subunit
COG0179	[Q] COG0179 2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)
COG0180	[J] COG0180 Tryptophanyl-tRNA synthetase
COG0181	[H] COG0181 Porphobilinogen deaminase
COG0182	[J] COG0182 Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family
COG0183	[I] COG0183 Acetyl-CoA acetyltransferase
COG0184	[J] COG0184 Ribosomal protein S15P/S13E
COG0185	[J] COG0185 Ribosomal protein S19
COG0186	[J] COG0186 Ribosomal protein S17
COG0187	[L] COG0187 Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit
COG0188	[L] COG0188 Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit
COG0189	[HJ] COG0189 Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)
COG0190	[H] COG0190 5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
COG0191	[G] COG0191 Fructose/tagatose bisphosphate aldolase
COG0192	[H] COG0192 S-adenosylmethionine synthetase
COG0193	[J] COG0193 Peptidyl-tRNA hydrolase
COG0194	[F] COG0194 Guanylate kinase
COG0195	[K] COG0195 Transcription elongation factor
COG0196	[H] COG0196 FAD synthase
COG0197	[J] COG0197 Ribosomal protein L16/L10E
COG0198	[J] COG0198 Ribosomal protein L24
COG0199	[J] COG0199 Ribosomal protein S14
COG0200	[J] COG0200 Ribosomal protein L15
COG0201	[U] COG0201 Preprotein translocase subunit SecY
COG0202	[K] COG0202 DNA-directed RNA polymerase, alpha subunit/40 kD subunit
COG0203	[J] COG0203 Ribosomal protein L17
COG0204	[I] COG0204 1-acyl-sn-glycerol-3-phosphate acyltransferase
COG0205	[G] COG0205 6-phosphofructokinase
COG0206	[D] COG0206 Cell division GTPase
COG0207	[F] COG0207 Thymidylate synthase
COG0208	[F] COG0208 Ribonucleotide reductase, beta subunit
COG0209	[F] COG0209 Ribonucleotide reductase, alpha subunit
COG0210	[L] COG0210 Superfamily I DNA and RNA helicases
COG0211	[J] COG0211 Ribosomal protein L27
COG0212	[H] COG0212 5-formyltetrahydrofolate cyclo-ligase
COG0213	[F] COG0213 Thymidine phosphorylase
COG0214	[H] COG0214 Pyridoxine biosynthesis enzyme
COG0215	[J] COG0215 Cysteinyl-tRNA synthetase
COG0216	[J] COG0216 Protein chain release factor A
COG0217	[S] COG0217 Uncharacterized conserved protein
COG0218	[R] COG0218 Predicted GTPase
COG0219	[J] COG0219 Predicted rRNA methylase (SpoU class)
COG0220	[R] COG0220 Predicted S-adenosylmethionine-dependent methyltransferase
COG0221	[C] COG0221 Inorganic pyrophosphatase
COG0222	[J] COG0222 Ribosomal protein L7/L12
COG0223	[J] COG0223 Methionyl-tRNA formyltransferase
COG0224	[C] COG0224 F0F1-type ATP synthase, gamma subunit
COG0225	[O] COG0225 Peptide methionine sulfoxide reductase
COG0226	[P] COG0226 ABC-type phosphate transport system, periplasmic component
COG0227	[J] COG0227 Ribosomal protein L28
COG0228	[J] COG0228 Ribosomal protein S16
COG0229	[O] COG0229 Conserved domain frequently associated with peptide methionine sulfoxide reductase
COG0230	[J] COG0230 Ribosomal protein L34
